,ID,Name,global_id,IsNetObject,OperatingCompany,TypeService,TypeObject,AdmArea,District,Address,PublicPhone,WorkingHours
0,147965,Пресса,637617741,нет,,реализация непродовольственных товаров,Магазин «Книги»,Северо-Восточный административный округ,район Лианозово,"город Москва, Абрамцевская улица, дом 1",нет телефона,"Часы работы: 09:00-20:00
День недели: понедельник

Часы работы: 09:00-20:00
День недели: вторник

Часы работы: 09:00-20:00
День недели: среда

Часы работы: 09:00-20:00
День недели: четверг

Часы работы: 09:00-20:00
День недели: пятница

Часы работы: 09:00-20:00
День недели: суббота

Часы работы: 09:00-20:00
День недели: воскресенье"
1,139944,Пресса,637626665,нет,,реализация непродовольственных товаров,Магазин «Книги»,Южный административный округ,район Нагатинский Затон,"город Москва, проспект Андропова, дом 21",нет телефона,"Часы работы: 07:00-22:00
День недели: понедельник

Часы работы: 07:00-22:00
День недели: вторник

Часы работы: 07:00-22:00
День недели: среда

Часы работы: 07:00-22:00
День недели: четверг

Часы работы: 07:00-22:00
День недели: пятница

Часы работы: 07:00-22:00
День недели: суббота

Часы работы: 07:00-22:00
День недели: воскресенье"
2,71491,Книжный магазин,637626699,нет,,реализация непродовольственных товаров,Магазин «Книги»,Южный административный округ,район Нагатино-Садовники,"город Москва, проспект Андропова, дом 26",(916) 719-59-77,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-20:00
День недели: воскресенье"
3,39747,Читай-Город,637626765,да,Читай-город,реализация непродовольственных товаров,Магазин «Книги»,Южный административный округ,район Нагатино-Садовники,"город Москва, проспект Андропова, дом 38",(499) 612-70-54,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: 09:00-21:00
День недели: воскресенье"
4,59097,Академкнига,637627022,нет,,реализация непродовольственных товаров,Магазин «Книги»,Центральный административный округ,Басманный район,"город Москва, Большой Спасоглинищевский переулок, дом 8",(495) 291-87-68,"Часы работы: 09:00-20:00
День недели: понедельник

Часы работы: 09:00-20:00
День недели: вторник

Часы работы: 09:00-20:00
День недели: среда

Часы работы: 09:00-20:00
День недели: четверг

Часы работы: 09:00-20:00
День недели: пятница

Часы работы: 09:00-20:00
День недели: суббота

Часы работы: 09:00-20:00
День недели: воскресенье"
5,74204,Магазин «Сейлс»,637627179,нет,,реализация непродовольственных товаров,Магазин «Книги»,Западный административный округ,район Филёвский Парк,"город Москва, Багратионовский проезд, дом 1, строение 1",(495) 915-84-35,"Часы работы: 08:00-21:00
День недели: понедельник

Часы работы: 08:00-21:00
День недели: вторник

Часы работы: 08:00-21:00
День недели: среда

Часы работы: 08:00-21:00
День недели: четверг

Часы работы: 08:00-21:00
День недели: пятница

Часы работы: 08:00-21:00
День недели: суббота

Часы работы: 08:00-21:00
День недели: воскресенье"
6,32715,Дом книги,637627212,да,Дом книги,реализация непродовольственных товаров,Магазин «Книги»,Восточный административный округ,район Гольяново,"город Москва, Байкальская улица, дом 23",(495) 462-40-91,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-20:00
День недели: воскресенье"
7,38488,Книга и здоровье,637627537,нет,,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,район Беговой,"город Москва, Беговая улица, дом 13",(495) 945-88-49,"Часы работы: 10:00-19:00
День недели: понедельник

Часы работы: 10:00-19:00
День недели: вторник

Часы работы: 10:00-19:00
День недели: среда

Часы работы: 10:00-19:00
День недели: четверг

Часы работы: 10:00-19:00
День недели: пятница

Часы работы: 10:00-19:00
День недели: суббота

Часы работы: выходной
День недели: воскресенье"
8,38403,Московский Дом Книги,637627683,да,Дом книги,реализация непродовольственных товаров,Магазин «Книги»,Северный административный округ,Бескудниковский район,"город Москва, Бескудниковский бульвар, дом 29, корпус 1",(499) 488-25-09,"Часы работы: 10:00-20:00
День недели: понедельник

Часы работы: 10:00-20:00
День недели: вторник

Часы работы: 10:00-20:00
День недели: среда

Часы работы: 10:00-20:00
День недели: четверг

Часы работы: 10:00-20:00
День недели: пятница

Часы работы: 10:00-20:00
День недели: суббота

Часы работы: 10:00-18:00
День недели: воскресенье"
9,39313,НОВЫЙ КНИЖНЫЙ,637627908,да,Новый книжный,реализация непродовольственных товаров,Магазин «Книги»,Северо-Западный административный округ,район Щукино,"город Москва, улица Маршала Бирюзова, дом 17",(499) 194-97-86,"Часы работы: 09:00-21:00
День недели: понедельник

Часы работы: 09:00-21:00
День недели: вторник

Часы работы: 09:00-21:00
День недели: среда

Часы работы: 09:00-21:00
День недели: четверг

Часы работы: 09:00-21:00
День недели: пятница

Часы работы: 09:00-21:00
День недели: суббота

Часы работы: 09:00-21:00
День недели: воскресенье"
