City,Figure,Per capita,Date,Source,Notes
Amsterdam,5.7,,2014,LISA,
Austin,4.7,,2018,ReferenceUSAGov/CAD - CAMP,
Barcelona,19.5,,2018,Barcelona City Council,
Bogotá,2.1,,2016,Cámara Colombiana del Libro & Acli,
Brasília,1.1,,2019,Guia Mais / IBGE,
Buenos Aires,20.1,,2018,SINCA,
Cape Town,1.1,,,Various online resources,
Chengdu,21.6,,2018,Chengdu Media Group,
Dublin,4.6,,2015,Booksellers Association UK and Ireland,
Edinburgh,10.6,,2013,UNESCO Edinburgh City of Literature Trust,
Guangzhou,4.5,,2017/18,The Books Newspapers and Periodicals Distribution Association of Guang Dong / Guangzhou Statistical Yearbook 2019,
Helsinki,3.1,,2018,google maps,
Hong Kong,16.0,,2018,Census and Statistics Department,
Istanbul,0.9,,2015,Yellow Pages,
Johannesburg,9.0,,2012,VANSA/SABDA,
Lagos,0.3,,2018,Lagos State Government,
Lisbon,41.6,,2017,"Direção-Geral do Livro, dos Arquivos e das Bibliotecas",
London,4.3,,2015,Booksellers Association,
Los Angeles,4.7,,2013,Bowker,
Madrid,15.7,,2014,Paginas Amarillas,
Melbourne,33.9,,2018,Yellow Pages,
Milan,10.2,,2017,AIE - Ufficio Studi,
Montréal,5.6,,2013,Banque de données des statistiques officielles sur le Québec,
Moscow,4.5,,2018,2GIS,
Nanjing,4.3,,2018/19,Nanjing Statistics Bureau / Nanjing Cultural and Tourism Bureau,
New York,9.4,,2018,Yelp / BOP,
Oslo,9.8,,2018,Bokhandlerforeningen,
Paris,10.2,,2018,Pages jaunes,
Rome,15.2,,2017,CONFCOMMERCIO ROMA ALI,
San Francisco,8.7,,2017,SF Chronicle blog,
Seoul,5.5,,2018,Seoul Foundation for Arts and Culture,Seoul culture index 2017
Shanghai,15.7,,2014,Shanghai Theatre Academy,
Shenzhen,5.9,,2018,Dianping.com,
Singapore,2.9,,2016,Eguide Singapore Business Directory,
Stockholm,3.0,,2015,Svenska Bokhandlareföreningen,
Sydney,5.3,,2018,Yellow Pages,
Taipei,16.4,,2017,Ministry of Finance,
Tokyo,12.2,,2016,Nippon Shuppan Hanbai Inc,
Toronto,12.4,,2018,YellowPages,
