title,author name,type,rating,price
Harry Potter and the Philosopher's Stone,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book club pick",Alex Michaelides,Paperback,4.5 out of 5 stars,258.00
The Complete Novels of Sherlock Holmes,Arthur Conan Doyle,Paperback,4.5 out of 5 stars,139.00
காதல் போதை தந்த கள்ளி (Tamil Edition),தேன் நிலா  J,Kindle Edition,4.7 out of 5 stars,350.00
Harry Potter and the Chamber of Secrets,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,293.55
Harry Potter and the Half-Blood Prince,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
Harry Potter and the Deathly Hallows,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
Diary of a Wimpy Kid: The Deep End (Book 15),Jeff Kinney,Paperback,4.7 out of 5 stars,245.00
Something I Never Told You,Shravya Bhinder,Paperback,4.4 out of 5 stars,142.00
Harry Potter and the Prisoner of Azkaban,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,218.50
Harry Potter and the Goblet of Fire,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
Baby Touch: Tummy Time,Ladybird,Board book,4.5 out of 5 stars,341.00
The Secret Garden,Frances Hodgson Burnett,Paperback,4.4 out of 5 stars,118.00
The Holiday: NOW A MAJOR TV DRAMA,T.M. Logan,Kindle Edition,4.3 out of 5 stars,256.50
On Earth We're Briefly Gorgeous: TIKTOK MADE ME BUY IT! ‘A masterpiece’ – Max Porter,Ocean Vuong,Paperback,4.4 out of 5 stars,249.00
Harry Potter and the Order of the Phoenix,J.K. Rowling,Kindle Edition,4.7 out of 5 stars,299.00
Circe: The International No. 1 Bestseller - Shortlisted for the Women's Prize for Fiction 2019,Madeline Miller,Paperback,4.5 out of 5 stars,344.00
Angels and Demons: (Robert Langdon Book 1),Dan Brown,Paperback,4.6 out of 5 stars,265.00
House of Earth and Blood (Crescent City),Sarah J. Maas,Paperback,4.7 out of 5 stars,543.00
The Hidden Hindu,Akshat Gupta,Paperback,4.4 out of 5 stars,175.00
The Secret Of The Nagas (Shiva Trilogy-2),Amish Tripathi,Paperback,4.6 out of 5 stars,292.00
Harry Potter 1-3 Box Set: A Magical Adventure Begins,J.K. Rowling,Paperback,4.7 out of 5 stars,985.00
The Nightingale,Kristin Hannah,Paperback,4.7 out of 5 stars,296.00
"Beach Read: Two writers,one holiday.A romcom waiting to happen Emily Henry",Emily Henry,Paperback,4.2 out of 5 stars,279.00
"Beautiful World, Where Are You: from the internationally bestselling author of Normal People",Sally Rooney,Paperback,4.1 out of 5 stars,461.28
Project Hail Mary: From the bestselling author of The Martian,Andy Weir,Paperback,4.7 out of 5 stars,426.00
Westland Publications Meluha Ke Mritunjay (Immortals of Meluha),Amish Tripathi,Paperback,4.5 out of 5 stars,270.00
Midnight's Children,Salman Rushdie,Paperback,4.3 out of 5 stars,338.00
Falling For Him: A Celebrity Romance,P.G. Van,Kindle Edition,4.4 out of 5 stars,99.00
தகலன் (Tamil Edition),தேன் நிலா  J,Kindle Edition,4.2 out of 5 stars,300.00
Crooked Kingdom (Six of Crows Book 2),Leigh Bardugo,Paperback,4.7 out of 5 stars,413.00
Sita: Warrior of Mithila (Ram Chandra Series - Book 2),Amish Tripathi,Paperback,4.5 out of 5 stars,330.00
Rage: The Courtney Series 6,Wilbur Smith,Kindle Edition,4.6 out of 5 stars,178.60
A Song of Ice and Fire - A Game of Thrones: The Complete Boxset of 7 Books,George R R Martin,Paperback,4.6 out of 5 stars,"2,664.00"
"Richer, Wiser, Happier: How the World’s Greatest Investors Win in Markets and Life: How the World’s Greatest Investors Win in Markets and Life",William Green,Paperback,4.7 out of 5 stars,419.00
மோக முத்தங்கள் (Tamil Edition),Kama Dev,Kindle Edition,3.4 out of 5 stars,219.00
Daughter of the Deep,Rick Riordan,Paperback,4.7 out of 5 stars,390.00
Favourite Stories of Courageous Girls: inspiring heroines from classic children's books,Louisa May Alcott,Paperback,4.4 out of 5 stars,349.00
உண்மை காதல் யாரென்றால் உன்னை என்னை சொல்வேனே: Unmai Kaadhal Yaarendral Unnai Ennai Solvenae (Tamil Edition),Swathi Krishna சுவாதி கிருஷ்ணா,Kindle Edition,4.4 out of 5 stars,450.00
The Evening and the Morning: The Prequel to The Pillars of the Earth (A Kingsbridge Novel) (PREMIUM PAPERBACK EDITION WITH FRENCH FLAPS),KEN FOLLETT,Paperback,4.5 out of 5 stars,149.00
டெய்சி ஜோசப்ராஜ் Daisy Josephraj,டெய்சி ஜோசப்ராஜ் Daisy Josephraj,Kindle Edition,-,360.00
Nagaon Ka Rahasya,Amish Tripathi,Paperback,4.5 out of 5 stars,252.00
Ashwatthama vs Parashuram: The Immortal Force,Gunjan Porwal,Kindle Edition,4.5 out of 5 stars,49.00
Harry Potter and the Philosopher's Stone: Illustrated [Kindle in Motion] (Illustrated Harry Potter Book 1),J.K. Rowling,Kindle Edition,4.8 out of 5 stars,441.75
Lord of the Flies (Ff Classics),William Golding,Paperback,4.5 out of 5 stars,271.00
The Enormous Crocodile,Roald Dahl,Paperback,4.6 out of 5 stars,213.00
Doosri Chot: Devraj Chauhan & Mona Choudhary (CHOT Series Book 2) (Hindi Edition),Anil Mohan,Kindle Edition,5.0 out of 5 stars,199.00
கானல் நீரோ..! காதல் பிழையோ..! (Tamil Edition),தமிழ் வெண்பா,Kindle Edition,4.1 out of 5 stars,350.00
Crooked Kingdom Collector's Edition (Six of Crows),Leigh Bardugo,Hardcover,4.7 out of 5 stars,670.00
Inferno: (Robert Langdon Book 4),Dan Brown,Paperback,4.5 out of 5 stars,165.00
