,Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?
0,66,Male,Refused,Divorced,College graduate,Retired,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,No,Yes
1,46,Male,Native American/American Indian,Married,High school graduate,Employed full-time,"Less than $10,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes
2,32,Male,Mixed race,Never been married,High school graduate,Employed full-time,"Less than $10,000",97,No,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes
3,27,Male,Mixed race,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,No
5,55,Female,Asian or Pacific Islander,Divorced,"Some college, no 4-year degree",Have own business/self-employed,"$40,000 to under $50,000",97,Yes,Yes,Yes,Purchased the book,No,No
6,63,Male,Black or African-American,Widowed,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,No
7,60,Female,Black or African-American,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,Yes
9,29,Female,Black or African-American,Never been married,High school graduate,Employed part-time,"Less than $10,000",97,Yes,No,Yes,Borrowed the book from a friend or family member,No,No
10,23,Male,Black or African-American,Never been married,High school graduate,Employed part-time,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
11,19,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",97,Yes,No,No,Got the book some other way,Yes,Yes
12,16,Female,Black or African-American,Never been married,High school graduate,Student,"$10,000 to under $20,000",97,Yes,No,Yes,Borrowed the book from a library,No,Yes
13,89,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,Yes,Yes
14,88,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",97,Yes,No,No,Borrowed the book from a library,Yes,No
15,84,Female,White,Widowed,"Some college, no 4-year degree",Retired,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
16,81,Female,White,Married,"Some college, no 4-year degree",Retired,"$75,000 to under $100,000",97,Yes,No,No,Purchased the book,Yes,Yes
18,79,Female,White,Widowed,High school graduate,Other,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a library,No,No
19,79,Male,White,Married,College graduate,Retired,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,No
20,78,Female,White,Divorced,High school graduate,Not employed for pay,"$10,000 to under $20,000",97,Yes,No,No,Borrowed the book from a library,No,No
21,78,Male,White,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes
23,77,Female,White,Married,High school graduate,Not employed for pay,Refused,97,Yes,No,Yes,Purchased the book,No,No
28,73,Female,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
32,69,Female,White,Married,College graduate,Retired,"$75,000 to under $100,000",97,Yes,No,No,Purchased the book,Yes,Yes
33,69,Female,White,Widowed,"Some college, no 4-year degree",Retired,"Less than $10,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
35,68,Female,White,Married,High school graduate,Employed part-time,"$30,000 to under $40,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
36,68,Female,White,Divorced,High school graduate,Retired,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
37,67,Male,White,Married,"Some college, no 4-year degree",Retired,Refused,97,Yes,No,No,Borrowed the book from a library,Yes,Yes
38,67,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",97,Yes,No,No,Got the book some other way,Yes,Yes
40,66,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes
42,66,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,Don’t know,Purchased the book,No,No
43,66,Female,White,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,No
46,65,Female,White,Divorced,College graduate,Retired,"$10,000 to under $20,000",97,Yes,No,No,Got the book some other way,Yes,Yes
47,65,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes
48,65,Female,White,Divorced,College graduate,Employed full-time,"$75,000 to under $100,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes
49,65,Female,White,Living with a partner,"Some college, no 4-year degree",Employed part-time,"$40,000 to under $50,000",97,Yes,Yes,No,Purchased the book,Yes,Yes
50,65,Female,White,Divorced,"Some college, no 4-year degree",Retired,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes
53,64,Female,White,Widowed,High school graduate,Retired,Refused,97,Yes,Yes,Yes,Purchased the book,Yes,Yes
54,64,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes
56,63,Female,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,No,Purchased the book,Yes,Yes
57,62,Female,White,Divorced,College graduate,Retired,"$20,000 to under $30,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes
58,60,Female,White,Widowed,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,No,Yes
59,60,Female,White,Single,College graduate,Employed full-time,"$50,000 to under $75,000",97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
60,60,Female,White,Never been married,College graduate,Employed part-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,Yes,Yes
61,60,Female,White,Married,College graduate,Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,Yes,Yes
62,60,Female,White,Never been married,College graduate,Retired,"$20,000 to under $30,000",97,Yes,Yes,No,Purchased the book,Yes,No
65,59,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes
66,58,Female,White,Married,High school graduate,Not employed for pay,"$50,000 to under $75,000",97,Yes,No,No,Purchased the book,No,No
67,58,Male,White,Never been married,"Some college, no 4-year degree",Not employed for pay,"$10,000 to under $20,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes
68,58,Female,White,Married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,No
70,57,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$100,000 to under $150,000",97,Yes,Yes,Yes,Borrowed the book from a library,Yes,Yes
71,56,Female,White,Divorced,High school graduate,Retired,"$20,000 to under $30,000",97,Yes,No,No,Purchased the book,No,Yes
72,55,Female,White,Married,"Some college, no 4-year degree",Retired,"$50,000 to under $75,000",97,Yes,Yes,Yes,Purchased the book,No,Yes
73,55,Female,White,Married,"Some college, no 4-year degree",Have own business/self-employed,Refused,97,Yes,No,Yes,Purchased the book,Yes,Yes
74,54,Female,White,Married,College graduate,Employed full-time,Refused,97,Yes,Don’t know,Yes,Borrowed the book from a library,Yes,Yes
75,53,Female,White,Divorced,High school graduate,Employed full-time,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,No,No
76,53,Male,White,Divorced,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,No,Yes
77,52,Female,White,Married,College graduate,Employed part-time,"$100,000 to under $150,000",97,Yes,Yes,No,Purchased the book,Yes,Yes
78,52,Female,White,Married,College graduate,Employed full-time,"$20,000 to under $30,000",97,Yes,No,Yes,Got the book some other way,No,No
80,50,Male,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes
82,46,Female,White,Married,College graduate,Have own business/self-employed,"$30,000 to under $40,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes
83,46,Female,White,Married,College graduate,Not employed for pay,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes
85,44,Male,White,Married,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,Yes,Purchased the book,No,Yes
87,41,Female,White,Married,College graduate,Employed full-time,"$30,000 to under $40,000",97,Yes,Yes,No,Borrowed the book from a library,No,Yes
89,38,Male,White,Married,College graduate,Not employed for pay,Refused,97,Yes,No,Yes,Got the book some other way,Yes,Yes
90,38,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,No,Yes
91,38,Female,White,Married,College graduate,Have own business/self-employed,"$100,000 to under $150,000",97,Yes,No,Yes,Purchased the book,Yes,Yes
92,37,Female,White,Married,College graduate,Employed part-time,"$40,000 to under $50,000",97,Yes,No,Yes,Purchased the book,No,No
93,36,Female,White,Never been married,"Some college, no 4-year degree",Employed full-time,"$30,000 to under $40,000",97,Yes,No,Yes,Purchased the book,No,No
94,35,Male,White,Single,High school graduate,Not employed for pay,"$10,000 to under $20,000",97,Yes,No,Yes,Purchased the book,Yes,Yes
95,35,Male,White,Married,"Some college, no 4-year degree",Have own business/self-employed,"$20,000 to under $30,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes
96,34,Female,White,Married,College graduate,Employed full-time,"$75,000 to under $100,000",97,Yes,No,Yes,Borrowed the book from a library,No,Yes
97,34,Male,White,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",97,Yes,Yes,No,Borrowed the book from a friend or family member,No,Yes
98,33,Female,White,Married,College graduate,Employed full-time,"$100,000 to under $150,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes
99,32,Female,White,Married,High school graduate,Not employed for pay,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,Yes,No
102,30,Female,White,Married,"Some college, no 4-year degree",Not employed for pay,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,No,Yes
